,geneName,ensId,keggId,keggBriteId,Functional Annotation Group,Functional Annotation Subgroup,Functional Annotation,TCGA-3C-AAAU-01_BRCA,order
3979,MYO1A,ENSG00000166866.12,hsa:4640,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,-2.9324,-3.5654515805469402
3980,MYO1A,ENSG00000166866.12,hsa:4640,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,-2.9324,-3.5654515805469402
3981,MYO1A,ENSG00000166866.12,hsa:4640,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-2.9324,-3.5654515805469402
3982,MYO1A,ENSG00000166866.12,hsa:4640,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,-2.9324,-3.5654515805469402
3983,NAB2,ENSG00000166886.12,hsa:4665,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.5899,3.955412125959319
3984,LRP1,ENSG00000123384.13,hsa:4035,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.576,5.615190731198299
3985,LRP1,ENSG00000123384.13,hsa:4035,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,4.576,5.615190731198299
3986,LRP1,ENSG00000123384.13,hsa:4035,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,4.576,5.615190731198299
3987,SHMT2,ENSG00000182199.10,hsa:6472,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.0614,5.955750541233793
3988,SHMT2,ENSG00000182199.10,hsa:6472,1000,Genes and Proteins,Protein families: metabolism,Enzymes,6.0614,5.955750541233793
3989,NDUFA4L2,ENSG00000185633.10,hsa:56901,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.6359,3.7239124778654054
3990,INHBC,ENSG00000175189.3,hsa:3626,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.3076,-5.771829822417514
3991,INHBC,ENSG00000175189.3,hsa:3626,4052,Genes and Proteins,Protein families: signaling and cellular processes,Cytokines and growth factors,-3.3076,-5.771829822417514
3992,INHBE,ENSG00000139269.2,hsa:83729,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.2934,-4.578202569417316
3993,INHBE,ENSG00000139269.2,hsa:83729,4052,Genes and Proteins,Protein families: signaling and cellular processes,Cytokines and growth factors,-4.2934,-4.578202569417316
3994,GLI1,ENSG00000111087.9,hsa:2735,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.9942,-0.9531876795804204
3995,GLI1,ENSG00000111087.9,hsa:2735,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-1.9942,-0.9531876795804204
3996,ARHGAP9,ENSG00000123329.17,hsa:64333,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.2723,2.919831508702214
3997,ARHGAP9,ENSG00000123329.17,hsa:64333,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,2.2723,2.919831508702214
3998,DDIT3,ENSG00000175197.10,hsa:1649,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.9151,4.644416371694507
3999,DDIT3,ENSG00000175197.10,hsa:1649,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,4.9151,4.644416371694507
4000,KIF5A,ENSG00000155980.11,hsa:3798,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.4035,-2.2173880842495595
4001,KIF5A,ENSG00000155980.11,hsa:3798,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,2.4035,-2.2173880842495595
4002,KIF5A,ENSG00000155980.11,hsa:3798,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,2.4035,-2.2173880842495595
4003,KIF5A,ENSG00000155980.11,hsa:3798,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,2.4035,-2.2173880842495595
4004,DTX3,ENSG00000178498.15,hsa:196403,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.2739,4.286715508233514
4005,DTX3,ENSG00000178498.15,hsa:196403,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,5.2739,4.286715508233514
4006,DTX3,ENSG00000178498.15,hsa:196403,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.2739,4.286715508233514
4007,ARHGEF25,ENSG00000240771.6,hsa:115557,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.9051,3.26559952443297
4008,ARHGEF25,ENSG00000240771.6,hsa:115557,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,3.9051,3.26559952443297
4009,SLC26A10,ENSG00000135502.16,hsa:65012,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.2998,-0.8146234587990272
4010,SLC26A10,ENSG00000135502.16,hsa:65012,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,0.2998,-0.8146234587990272
4011,B4GALNT1,ENSG00000135454.13,hsa:2583,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.0642,0.49001918013732476
4012,B4GALNT1,ENSG00000135454.13,hsa:2583,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.0642,0.49001918013732476
4013,B4GALNT1,ENSG00000135454.13,hsa:2583,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,1.0642,0.49001918013732476
4014,AGAP2,ENSG00000135439.11,hsa:116986,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.2328,0.4882532771039506
4015,AGAP2,ENSG00000135439.11,hsa:116986,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,-0.2328,0.4882532771039506
4016,CYP27B1,ENSG00000111012.9,hsa:1594,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.4571,0.4261227378785694
4017,CYP27B1,ENSG00000111012.9,hsa:1594,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.4571,0.4261227378785694
4018,CYP27B1,ENSG00000111012.9,hsa:1594,0199,Genes and Proteins,Protein families: metabolism,Cytochrome P450,2.4571,0.4261227378785694
4019,AVIL,ENSG00000135407.10,hsa:10677,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.9842,1.4282303485709644
4020,AVIL,ENSG00000135407.10,hsa:10677,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,4.9842,1.4282303485709644
4021,SLC16A7,ENSG00000118596.11,hsa:9194,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.7274,-0.3616790423079071
4022,SLC16A7,ENSG00000118596.11,hsa:9194,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,-2.7274,-0.3616790423079071
4023,PPM1H,ENSG00000111110.11,hsa:57460,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.4597,2.923047552738896
4024,PPM1H,ENSG00000111110.11,hsa:57460,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.4597,2.923047552738896
4025,PPM1H,ENSG00000111110.11,hsa:57460,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,2.4597,2.923047552738896
4026,AVPR1A,ENSG00000166148.3,hsa:552,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.2998,0.16889061975021252
4027,AVPR1A,ENSG00000166148.3,hsa:552,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,0.2998,0.16889061975021252
4028,SRGAP1,ENSG00000196935.8,hsa:57522,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.7296,1.7093332546005529
4029,SRGAP1,ENSG00000196935.8,hsa:57522,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,4.7296,1.7093332546005529
4030,RASSF3,ENSG00000153179.11,hsa:283349,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.6985,4.291714207312812
4031,GNS,ENSG00000135677.10,hsa:2799,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.8476,5.96031360319126
4032,GNS,ENSG00000135677.10,hsa:2799,1000,Genes and Proteins,Protein families: metabolism,Enzymes,8.8476,5.96031360319126
4033,WIF1,ENSG00000156076.9,hsa:11197,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-2.6833699078987028
4034,MSRB3,ENSG00000174099.10,hsa:253827,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.136,3.3785715158551355
4035,MSRB3,ENSG00000174099.10,hsa:253827,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.136,3.3785715158551355
4036,HMGA2,ENSG00000149948.13,hsa:8091,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.6082,-3.7184962296538924
4037,HMGA2,ENSG00000149948.13,hsa:8091,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-4.6082,-3.7184962296538924
4038,HMGA2,ENSG00000149948.13,hsa:8091,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-4.6082,-3.7184962296538924
4039,IRAK3,ENSG00000090376.8,hsa:11213,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.7832,0.4449583382973116
4040,IRAK3,ENSG00000090376.8,hsa:11213,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.7832,0.4449583382973116
4041,IRAK3,ENSG00000090376.8,hsa:11213,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,0.7832,0.4449583382973116
4042,HELB,ENSG00000127311.9,hsa:92797,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.6964,0.0824575587761909
4043,HELB,ENSG00000127311.9,hsa:92797,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.6964,0.0824575587761909
4044,HELB,ENSG00000127311.9,hsa:92797,3032,Genes and Proteins,Protein families: genetic information processing,DNA replication proteins,1.6964,0.0824575587761909
4045,GRIP1,ENSG00000155974.11,hsa:23426,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.7051,1.257835367831353
4046,GRIP1,ENSG00000155974.11,hsa:23426,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,2.7051,1.257835367831353
4047,DYRK2,ENSG00000127334.10,hsa:8445,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.8788,3.023668333642138
4048,DYRK2,ENSG00000127334.10,hsa:8445,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.8788,3.023668333642138
4049,DYRK2,ENSG00000127334.10,hsa:8445,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,3.8788,3.023668333642138
4050,IFNG,ENSG00000111537.4,hsa:3458,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-5.5735,-3.374613384266416
4051,IFNG,ENSG00000111537.4,hsa:3458,0536,Genes and Proteins,Protein families: signaling and cellular processes,Glycosaminoglycan binding proteins,-5.5735,-3.374613384266416
4052,IFNG,ENSG00000111537.4,hsa:3458,4052,Genes and Proteins,Protein families: signaling and cellular processes,Cytokines and growth factors,-5.5735,-3.374613384266416
4053,IFNG,ENSG00000111537.4,hsa:3458,3051,Genes and Proteins,Protein families: genetic information processing,Proteasome,-5.5735,-3.374613384266416
4054,IL26,ENSG00000111536.4,hsa:55801,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-7.696545233445489
4055,IL26,ENSG00000111536.4,hsa:55801,4052,Genes and Proteins,Protein families: signaling and cellular processes,Cytokines and growth factors,-9.9658,-7.696545233445489
4056,CPM,ENSG00000135678.11,hsa:1368,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.6894,2.8999417845036484
4057,CPM,ENSG00000135678.11,hsa:1368,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.6894,2.8999417845036484
4058,CPM,ENSG00000135678.11,hsa:1368,1002,Genes and Proteins,Protein families: metabolism,Peptidases,3.6894,2.8999417845036484
4059,CPM,ENSG00000135678.11,hsa:1368,0537,Genes and Proteins,Protein families: signaling and cellular processes,Glycosylphosphatidylinositol (GPI)-anchored proteins,3.6894,2.8999417845036484
4060,LYZ,ENSG00000090382.6,hsa:4069,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.0224,6.424067335930033
4061,LYZ,ENSG00000090382.6,hsa:4069,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,5.0224,6.424067335930033
4062,LYZ,ENSG00000090382.6,hsa:4069,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.0224,6.424067335930033
4063,FRS2,ENSG00000166225.8,hsa:10818,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.061,3.9538278974904375
4064,BEST3,ENSG00000127325.18,hsa:144453,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.9302,-4.127067222028133
4065,BEST3,ENSG00000127325.18,hsa:144453,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,1.9302,-4.127067222028133
4066,RAB3IP,ENSG00000127328.21,hsa:117177,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.4353,4.3022346254820105
4067,RAB3IP,ENSG00000127328.21,hsa:117177,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,6.4353,4.3022346254820105
4068,RAB3IP,ENSG00000127328.21,hsa:117177,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,6.4353,4.3022346254820105
4069,KCNMB4,ENSG00000135643.4,hsa:27345,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.1811,0.3273021934995268
4070,KCNMB4,ENSG00000135643.4,hsa:27345,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,-1.1811,0.3273021934995268
4071,PTPRB,ENSG00000127329.14,hsa:5787,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.4756,1.9488109324076899
4072,PTPRB,ENSG00000127329.14,hsa:5787,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.4756,1.9488109324076899
4073,PTPRB,ENSG00000127329.14,hsa:5787,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,1.4756,1.9488109324076899
4074,PTPRR,ENSG00000153233.12,hsa:5801,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.6259,-1.7193772615476777
4075,PTPRR,ENSG00000153233.12,hsa:5801,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-3.6259,-1.7193772615476777
4076,PTPRR,ENSG00000153233.12,hsa:5801,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,-3.6259,-1.7193772615476777
4077,TSPAN8,ENSG00000127324.8,hsa:7103,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.1504,-0.9176219702641647
4078,TSPAN8,ENSG00000127324.8,hsa:7103,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,-0.1504,-0.9176219702641647
4079,LGR5,ENSG00000139292.12,hsa:8549,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-5.5735,-2.4997636999563344
4080,LGR5,ENSG00000139292.12,hsa:8549,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-5.5735,-2.4997636999563344
4081,TRHDE,ENSG00000072657.8,hsa:29953,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-4.869504739331178
4082,TRHDE,ENSG00000072657.8,hsa:29953,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-9.9658,-4.869504739331178
4083,TRHDE,ENSG00000072657.8,hsa:29953,1002,Genes and Proteins,Protein families: metabolism,Peptidases,-9.9658,-4.869504739331178
4084,OSBPL8,ENSG00000091039.16,hsa:114882,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.7443,3.903847264233509
4085,OSBPL8,ENSG00000091039.16,hsa:114882,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,3.7443,3.903847264233509
4086,OSBPL8,ENSG00000091039.16,hsa:114882,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,3.7443,3.903847264233509
4087,ZDHHC17,ENSG00000186908.14,hsa:23390,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.644,3.1615055694200906
4088,ZDHHC17,ENSG00000186908.14,hsa:23390,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,3.644,3.1615055694200906
4089,ZDHHC17,ENSG00000186908.14,hsa:23390,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.644,3.1615055694200906
4090,CSRP2,ENSG00000175183.9,hsa:1466,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.2617,4.132990067895209
4091,CSRP2,ENSG00000175183.9,hsa:1466,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,3.2617,4.132990067895209
4092,E2F7,ENSG00000165891.15,hsa:144455,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.2576,-0.4652184389109263
4093,E2F7,ENSG00000165891.15,hsa:144455,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,1.2576,-0.4652184389109263
4094,SYT1,ENSG00000067715.13,hsa:6857,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.035,0.8324178645976705
4095,SYT1,ENSG00000067715.13,hsa:6857,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,-4.035,0.8324178645976705
4096,PPP1R12A,ENSG00000058272.15,hsa:4659,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.9728,4.3374638385436715
4097,PPP1R12A,ENSG00000058272.15,hsa:4659,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,3.9728,4.3374638385436715
4098,PTPRQ,ENSG00000139304.12,hsa:374462,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-4.8383756876832065
4099,PTPRQ,ENSG00000139304.12,hsa:374462,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-9.9658,-4.8383756876832065
4100,PTPRQ,ENSG00000139304.12,hsa:374462,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,-9.9658,-4.8383756876832065
4101,LIN7A,ENSG00000111052.7,hsa:8825,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.2328,0.9958158333262702
4102,LIN7A,ENSG00000111052.7,hsa:8825,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,-0.2328,0.9958158333262702
4103,ACSS3,ENSG00000111058.7,hsa:79611,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.8014,2.408288221866693
4104,ACSS3,ENSG00000111058.7,hsa:79611,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.8014,2.408288221866693
4105,ACSS3,ENSG00000111058.7,hsa:79611,1004,Genes and Proteins,Protein families: metabolism,Lipid biosynthesis proteins,2.8014,2.408288221866693
4106,SLC6A15,ENSG00000072041.16,hsa:55117,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-4.185972213517633
4107,SLC6A15,ENSG00000072041.16,hsa:55117,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,-9.9658,-4.185972213517633
4108,TSPAN19,ENSG00000231738.10,hsa:144448,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-7.633658502519855
4109,ALX1,ENSG00000180318.3,hsa:8092,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-5.738403410504393
4110,ALX1,ENSG00000180318.3,hsa:8092,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-9.9658,-5.738403410504393
4111,RASSF9,ENSG00000198774.4,hsa:9182,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.7809,-0.9214330537889815
4112,NTS,ENSG00000133636.10,hsa:4922,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.1187,-4.4624671077170595
4113,MGAT4C,ENSG00000182050.13,hsa:25834,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.6082,-7.020060106470357
4114,MGAT4C,ENSG00000182050.13,hsa:25834,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-4.6082,-7.020060106470357
4115,MGAT4C,ENSG00000182050.13,hsa:25834,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,-4.6082,-7.020060106470357
4116,KITLG,ENSG00000049130.13,hsa:4254,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.7486,3.9097510503103017
4117,KITLG,ENSG00000049130.13,hsa:4254,4052,Genes and Proteins,Protein families: signaling and cellular processes,Cytokines and growth factors,3.7486,3.9097510503103017
4118,DUSP6,ENSG00000139318.7,hsa:1848,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.2196,5.004641172437689
4119,DUSP6,ENSG00000139318.7,hsa:1848,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.2196,5.004641172437689
4120,DUSP6,ENSG00000139318.7,hsa:1848,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,4.2196,5.004641172437689
4121,GALNT4,ENSG00000257594.3,hsa:8693,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.9264,1.7798585468613044
4122,GALNT4,ENSG00000257594.3,hsa:8693,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.9264,1.7798585468613044
4123,GALNT4,ENSG00000257594.3,hsa:8693,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,1.9264,1.7798585468613044
4124,POC1B-GALNT4,ENSG00000259075.6,hsa:100528030,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.2642,-0.814186068963346
4125,POC1B-GALNT4,ENSG00000259075.6,hsa:100528030,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.2642,-0.814186068963346
4126,POC1B-GALNT4,ENSG00000259075.6,hsa:100528030,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,0.2642,-0.814186068963346
4127,ATP2B1,ENSG00000070961.14,hsa:490,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.4569,3.7354085684208247
4128,ATP2B1,ENSG00000070961.14,hsa:490,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.4569,3.7354085684208247
4129,EPYC,ENSG00000083782.7,hsa:1833,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.9942,-0.8052881594413737
4130,EPYC,ENSG00000083782.7,hsa:1833,0535,Genes and Proteins,Protein families: signaling and cellular processes,Proteoglycans,-1.9942,-0.8052881594413737
4131,KERA,ENSG00000139330.5,hsa:11081,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.6082,-1.8789303596087894
4132,KERA,ENSG00000139330.5,hsa:11081,0535,Genes and Proteins,Protein families: signaling and cellular processes,Proteoglycans,-4.6082,-1.8789303596087894
4133,LUM,ENSG00000139329.4,hsa:4060,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.3754,9.05052611133924
4134,LUM,ENSG00000139329.4,hsa:4060,0535,Genes and Proteins,Protein families: signaling and cellular processes,Proteoglycans,8.3754,9.05052611133924
4135,DCN,ENSG00000011465.16,hsa:1634,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.3188,8.57765750995706
4136,DCN,ENSG00000011465.16,hsa:1634,0535,Genes and Proteins,Protein families: signaling and cellular processes,Proteoglycans,7.3188,8.57765750995706
4137,BTG1,ENSG00000133639.4,hsa:694,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.2219,6.075806435968672
4138,BTG1,ENSG00000133639.4,hsa:694,3019,Genes and Proteins,Protein families: genetic information processing,Messenger RNA biogenesis,5.2219,6.075806435968672
4139,EEA1,ENSG00000102189.16,hsa:8411,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.108,2.2516030702254017
4140,EEA1,ENSG00000102189.16,hsa:8411,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,2.108,2.2516030702254017
4141,NUDT4,ENSG00000173598.13,hsa:11163,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.6387,5.430171476871723
4142,NUDT4,ENSG00000173598.13,hsa:11163,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.6387,5.430171476871723
4143,SOCS2,ENSG00000120833.13,hsa:8835,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.9038,3.1397183025594138
4144,SOCS2,ENSG00000120833.13,hsa:8835,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,0.9038,3.1397183025594138
4145,PLXNC1,ENSG00000136040.8,hsa:10154,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.5188,2.7446530520343653
4146,PLXNC1,ENSG00000136040.8,hsa:10154,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,2.5188,2.7446530520343653
4147,FGD6,ENSG00000180263.13,hsa:55785,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6208,2.064264472236509
4148,USP44,ENSG00000136014.11,hsa:84101,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.2934,-3.113202684733256
4149,USP44,ENSG00000136014.11,hsa:84101,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,-4.2934,-3.113202684733256
4150,USP44,ENSG00000136014.11,hsa:84101,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-4.2934,-3.113202684733256
4151,USP44,ENSG00000136014.11,hsa:84101,1002,Genes and Proteins,Protein families: metabolism,Peptidases,-4.2934,-3.113202684733256
4152,NTN4,ENSG00000074527.11,hsa:59277,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.4065,4.942792581791358
4153,AMDHD1,ENSG00000139344.7,hsa:144193,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.8262,-0.987721299764086
4154,AMDHD1,ENSG00000139344.7,hsa:144193,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-2.8262,-0.987721299764086
4155,HAL,ENSG00000084110.10,hsa:3034,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.6349,-3.14630743028076
4156,HAL,ENSG00000084110.10,hsa:3034,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-2.6349,-3.14630743028076
4157,ELK3,ENSG00000111145.7,hsa:2004,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.7496,4.241515215937847
4158,ELK3,ENSG00000111145.7,hsa:2004,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,3.7496,4.241515215937847
4159,ANKS1B,ENSG00000185046.18,hsa:56899,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.3549,2.1067574499610298
4160,ANKS1B,ENSG00000185046.18,hsa:56899,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,3.3549,2.1067574499610298
4161,SLC17A8,ENSG00000179520.10,hsa:246213,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-7.499439797382955
4162,SLC17A8,ENSG00000179520.10,hsa:246213,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,-9.9658,-7.499439797382955
4163,NR1H4,ENSG00000012504.13,hsa:9971,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-8.827968698930706
4164,NR1H4,ENSG00000012504.13,hsa:9971,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-9.9658,-8.827968698930706
4165,NR1H4,ENSG00000012504.13,hsa:9971,3310,Genes and Proteins,Protein families: signaling and cellular processes,Nuclear receptors,-9.9658,-8.827968698930706
4166,ANO4,ENSG00000151572.16,hsa:121601,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.2447,-3.385724033634925
